"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz30100","Fort Smith, AR & OK",25567
"cz302","Knoxville, TN",25563
"cz25101","Mountain Home, AR & MO",25548
"cz1201","Franklin, GA & NC",25547
"cz10302","Dothan, AL",25493
"cz4302","Searcy, AR",25491
"cz34801","Las Vegas, NM",25463
"cz11101","Montgomery, AL",25451
"cz1800","Goldsboro, NC",25446
"cz4101","Crossett, AR",25400
"cz37902","Reno, NV",25351
"cz1500","Wilmington, NC",25345
"cz10801","Tuscaloosa, AL",25328
"cz8000","Sumter, SC",25323
"cz9600","LaGrange, AL & GA",25321
"cz3102","Brookhaven, MS",25315
"cz5202","Memphis, MS & TN",25313
"cz3901","Monroe, LA",25297
"cz6800","Lakeland, FL",25276
"cz15800","Athens, OH & WV",25268
"cz30000","Russellville, AR",25263
"cz25105","Batesville, AR",25259
"cz5000","Tupelo, MS",25224
"cz33603","Frederick, OK",25215
"cz17100","Huntington, KY & OH & WV",25213
"cz5402","Glasgow, KY & TN",25207
"cz30403","Okmulgee, OK",25193
"cz36901","Crescent City, CA & OR",25168
"cz29800","Aurora, MO",25153
"cz1202","Sylva, NC",25147
"cz2900","Hattiesburg, MS",25141
"cz800","Gastonia, NC",25139
"cz25103","Harrison, AR",25109
"cz9500","Talladega, AL",25102
"cz10000","Panama City, FL",25043
"cz12702","Maysville, KY",25040
"cz25900","Jonesboro, AR",25034
"cz10802","Demopolis, AL",24982
"cz5201","New Albany, MS",24962
"cz34113","Barrow, AK",24961
"cz402","Martinsville, VA",24942
"cz7800","Ocala, FL",24932
"cz2800","Laurel, MS",24914
"cz34001","Hot Springs, AR",24893
"cz1001","Boone, NC & TN",24886
"cz16902","Spencer, WV",24858
"cz4903","Lexington, TN",24792
"cz10400","Meridian, MS",24716
"cz4102","Pine Bluff, AR",24706
"cz6600","Rome, AL & GA",24681
"cz12903","Danville, KY",24681
"cz601","North Wilkesboro, NC",24660
"cz10600","Jasper, AL",24631
"cz15700","Scioto, OH",24619
"cz8402","Washington, GA",24587
"cz2600","Roanoke Rapids, NC & VA",24574
"cz8602","Brunswick, GA",24556
"cz6100","Gadsden, AL",24551
"cz8701","Hinesville, GA",24536
"cz30200","Muskogee, OK",24513
"cz3902","Lake Providence, LA",24503
"cz602","Galax, NC & VA",24492
"cz3203","Vicksburg, LA & MS",24473
"cz3101","McComb, MS",24457
"cz6302","Cookeville, TN",24453
"cz9302","Toccoa, GA",24420
"cz1302","Florence, SC",24409
"cz8702","Statesboro, GA",24390
"cz9701","Columbus, AL & GA",24387
"cz34306","Jordan, MT",24376
"cz1002","Morganton, NC",24344
"cz8501","Fitzgerald, GA",24336
"cz10502","Starkville, MS",24324
"cz6502","Cleveland, TN",24288
"cz9003","Dublin, GA",24253
"cz27604","Murdo, SD",24243
"cz9001","Vidalia, GA",24204
"cz100","Johnson City, TN & VA",24157
"cz25104","Heber Springs, AR",24147
"cz3001","Kosciusko, MS",24104
"cz10101","Bainbridge, GA",24100
"cz8601","Waycross, GA",24072
"cz10102","Thomasville, GA",24062
"cz34104","Bristol Bay, AK",24040
"cz25102","West Plains, AR & MO",24027
"cz34002","Idabel, AR & OK",23977
"cz1400","Fayetteville, NC",23942
"cz9702","Americus, GA",23933
"cz7700","Lake City, FL",23912
"cz34803","Tucumcari, NM",23899
"cz20002","Calais, ME",23876
"cz12902","Mount Sterling, KY",23861
"cz10501","Columbus, AL & MS",23854
"cz1204","Andrews, GA & NC",23839
"cz9002","Milledgeville, GA",23831
"cz35500","Gallup, AZ & NM",23819
"cz4902","Dyersburg, TN",23819
"cz5100","Corinth, MS & TN",23814
"cz4601","Campbellsville, KY",23763
"cz9200","Griffin, GA",23740
"cz4402","Richmond, KY",23702
"cz8503","Valdosta, GA",23628
"cz11203","Big Stone Gap, VA",23598
"cz30604","Deming, NM",23553
"cz34902","Socorro, NM",23531
"cz26603","East Corson UT, ND & SD",23451
"cz6301","McMinnville, TN",23431
"cz10301","Eufaula, AL & GA",23419
"cz6402","Crossville, TN",23262
"cz30603","Truth or Consequences, NM",23243
"cz4702","Clarksdale, MS",23190
"cz8201","Barnwell, SC",23166
"cz10200","Albany, GA",23147
"cz1702","Henderson, NC",23097
"cz11202","Welch, WV",23091
"cz32303","Junction, TX",23054
"cz6501","Ellijay, GA",23049
"cz5300","West Memphis, AR",22952
"cz4701","Greenwood, MS",22944
"cz1301","Bennettsville, SC",22887
"cz38100","Yuma, AZ & CA",22886
"cz25800","Blytheville, AR & MO",22874
"cz200","Morristown, TN",22862
"cz25702","Poplar Bluff, MO",22809
"cz17000","Pikeville, KY & WV",22704
"cz3002","Yazoo City, MS",22216
"cz8502","Cordele, GA",22187
"cz34106","Nome, AK",22170
"cz30907","Matador, TX",21986
